Size,Page,Paper,Cover,sku,weight,Wildcard,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",80 lb. Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,,$339.28,$379.06,$427.84,$663.89 ,"$1,046.87 ","$1,817.78 ","$2,678.19 ","$3,513.16 ","$4,341.06 ","$5,198.63 ","$6,017.62 ","$6,829.47 ","$7,634.20 ","$8,431.81 ","$9,222.31 ","$10,005.71 ","$10,782.01 ","$11,551.21 ","$12,313.34 ","$13,074.56 ","$13,822.90 ","$14,564.17 ","$15,298.38 ","$16,025.54 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",80 lb. Gloss Book (C2S) with Aqueous Coating,Self Cover,none,1.4,none,,$248.13,$270.77,$303.25,$463.37,$740.78 ,"$1,158.28 ","$1,625.31 ","$2,084.97 ","$2,538.61 ","$3,041.30 ","$3,490.66 ","$3,933.86 ","$4,370.91 ","$4,801.80 ","$5,226.54 ","$5,645.12 ","$6,057.54 ","$6,463.81 ","$6,863.92 ","$7,257.88 ","$7,645.68 ","$8,027.32 ","$8,402.81 ","$8,772.14 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",Recycled 80 lb. Dull Text with Matte Fish,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,,,$399.25,$435.82,$635.59,$997.22 ,"$1,687.08 ","$2,421.88 ","$3,146.61 ","$3,861.28 ","$4,565.88 ","$5,260.42 ","$5,944.89 ","$6,619.29 ","$7,283.63 ","$7,937.90 ","$8,582.11 ","$9,216.25 ","$9,840.33 ","$10,454.34 ","$11,058.29 ","$11,652.17 ","$12,235.98 ","$12,809.73 ","$13,373.41 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,,,$399.25,$435.82,$635.59,$997.22 ,"$1,687.08 ","$2,421.88 ","$3,146.61 ","$3,861.28 ","$4,565.88 ","$5,260.42 ","$5,944.89 ","$6,619.29 ","$7,283.63 ","$7,937.90 ","$8,582.11 ","$9,216.25 ","$9,840.33 ","$10,454.34 ","$11,058.29 ","$11,652.17 ","$12,235.98 ","$12,809.73 ","$13,373.41 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,,,$402.37,$454.06,$698.79 ,"$1,103.62 ","$1,901.48 ","$2,777.52 ","$3,636.73 ","$4,489.12 ","$5,334.68 ","$6,173.42 ","$7,005.33 ","$7,830.41 ","$8,648.67 ","$9,460.10 ","$10,264.71 ","$11,062.49 ","$11,853.45 ","$12,637.58 ","$13,414.89 ","$14,185.37 ","$14,949.02 ","$15,705.85 ","$16,455.85 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",Recycled 80 lb. Dull Text with Matte Fish,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,,,$409.17,$461.63,$711.24 ,"$1,122.90 ","$1,938.74 ","$2,833.06 ","$3,708.85 ","$4,576.94 ","$5,437.31 ","$6,289.99 ","$7,134.98 ","$7,972.28 ","$8,801.90 ","$9,623.85 ","$10,438.14 ","$11,244.76 ","$12,043.74 ","$12,835.06 ","$13,624.93 ","$14,401.35 ","$15,170.14 ","$15,931.31 ","$16,684.86 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",Recycled 80 lb. Dull Text with Matte Fish,Self Cover,none,1.4,none,,,$315.93,$353.93,$534.39,$854.82 ,"$1,339.72 ","$1,857.62 ","$2,378.52 ","$2,892.42 ","$3,399.32 ","$3,899.22 ","$4,392.13 ","$4,878.04 ","$5,356.95 ","$5,828.86 ","$6,293.77 ","$6,751.68 ","$7,202.60 ","$7,646.51 ","$8,083.43 ","$8,513.35 ","$8,936.27 ","$9,352.20 ","$9,761.12 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,$358.20,$424.60,$473.64,$519.28,$759.88 ,"$1,196.80 ","$2,004.60 ","$2,855.52 ","$3,694.56 ","$4,521.72 ","$5,337.00 ","$6,140.40 ","$6,931.92 ","$7,711.56 ","$8,479.32 ","$9,235.20 ","$9,979.20 ","$10,711.32 ","$11,431.56 ","$12,139.92 ","$12,836.40 ","$13,521.00 ","$14,193.72 ","$14,854.56 ","$15,503.52 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,,$428.80,$476.76,$537.52,$823.08 ,"$1,303.20 ","$2,219.00 ","$3,211.16 ","$4,184.68 ","$5,149.56 ","$6,105.80 ","$7,053.40 ","$7,992.36 ","$8,922.68 ","$9,844.36 ","$10,757.40 ","$11,661.80 ","$12,557.56 ","$13,444.68 ","$14,323.16 ","$15,193.00 ","$16,054.20 ","$16,906.76 ","$17,750.68 ","$18,585.96 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,,$428.80,$476.76,$537.52,$823.08 ,"$1,303.20 ","$2,219.00 ","$3,211.16 ","$4,184.68 ","$5,149.56 ","$6,105.80 ","$7,053.40 ","$7,992.36 ","$8,922.68 ","$9,844.36 ","$10,757.40 ","$11,661.80 ","$12,557.56 ","$13,444.68 ","$14,323.16 ","$15,193.00 ","$16,054.20 ","$16,906.76 ","$17,750.68 ","$18,585.96 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,,$434.86,$483.56,$545.09,$835.52 ,"$1,322.49 ","$2,256.26 ","$3,266.70 ","$4,256.80 ","$5,237.38 ","$6,208.43 ","$7,169.98 ","$8,122.01 ","$9,064.55 ","$9,997.59 ","$10,921.15 ","$11,835.23 ","$12,739.83 ","$13,634.97 ","$14,520.64 ","$15,403.04 ","$16,270.18 ","$17,127.87 ","$17,976.13 ","$18,814.96 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,Self Cover,none,1.4,none,$328.40,$351.00,$383.24,$429.44,$646.84 ,"$1,035.40 ","$1,627.00 ","$2,249.96 ","$2,874.28 ","$3,489.96 ","$4,097.00 ","$4,695.40 ","$5,285.16 ","$5,866.28 ","$6,438.76 ","$7,002.60 ","$7,557.80 ","$8,104.36 ","$8,642.28 ","$9,171.56 ","$9,692.20 ","$10,204.20 ","$10,707.56 ","$11,202.28 ","$11,688.36 "
"6"" x 9"" Vertical","16 pages (4 cover, 16 inside)  ",70 lb. Offset Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,$358.20,$424.60,$473.64,$519.28,$759.88 ,"$1,196.80 ","$2,004.60 ","$2,855.52 ","$3,694.56 ","$4,521.72 ","$5,337.00 ","$6,140.40 ","$6,931.92 ","$7,711.56 ","$8,479.32 ","$9,235.20 ","$9,979.20 ","$10,711.32 ","$11,431.56 ","$12,139.92 ","$12,836.40 ","$13,521.00 ","$14,193.72 ","$14,854.56 ","$15,503.52 "
