sku,weight,Size,Page,Paper,coverpaper,100,250,500
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,566.96,646.23,714.28
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,566.96,646.23,714.28
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,502.48,537.51,587.16
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",Recycled 80 lb. Dull Text with Matte Finish,100 lb. Gloss Cover (C2S) with Aqueous Coating,573.84,674.71,743.82
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,633.72,717.76,792.48
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,633.72,717.76,792.48
shortruncalendars,null,"8.5"" x 11""","16 pages (4 cover, 12 inside)",Recycled 80 lb. Dull Text with Matte Finish,SELF COVER,591.49,632.88,691.43
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,838.22,957.55,1053.7
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,898.1,1000.6,1102.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,898.1,1000.6,1102.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,845.4,904.5,989.04
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",70 lb. Offset Opaque Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,838.22,957.55,1053.7
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,898.1,1000.6,1102.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,898.1,1000.6,1102.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",70 lb. Offset Opaque Smooth White,SELF COVER,845.4,904.5,989.04
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,779.32,894.44,984.7
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,839.2,937.49,1033.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,839.2,937.49,1033.36
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,774.71,828.77,906.24
