catalogs_089f00c33876798a60d2ee50a7091f8e,5.5x8.5,4/4 (Full Color Both Sides),88 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,4257.5,5045,5832.5,6620,6954,7288,7622,7956,8290,8702,9114,9526,9938,10350,10768,11186,11604,12022,12440,12876,13312,13748,14184,14620,3470
catalogs_6c1b0c7cd63f095616a70be99a6af1c3,5.5x8.5,4/4 (Full Color Both Sides),92 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,4257.5,5045,5832.5,6620,6954,7288,7622,7956,8290,8702,9114,9526,9938,10350,10768,11186,11604,12022,12440,12876,13312,13748,14184,14620,3470
catalogs_20734654b6d7fe53dfa3af072c1efd63,5.5x8.5,4/4 (Full Color Both Sides),92 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,4395,5210,6025,6840,7196,7552,7908,8264,8620,9050,9480,9910,10340,10770,11206,11642,12078,12514,12950,13402,13854,14306,14758,15210,3580
catalogs_ca707c8037951886c20d1d107b567067,5.5x8.5,4/4 (Full Color Both Sides),96 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,4395,5210,6025,6840,7196,7552,7908,8264,8620,9050,9480,9910,10340,10770,11206,11642,12078,12514,12950,13402,13854,14306,14758,15210,3580
catalogs_02ba04d437e35f581464e55ed0db063a,5.5x8.5,4/4 (Full Color Both Sides),96 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,717.5,895,1072.5,1250,1348,1446,1544,1642,1740,1902,2064,2226,2388,2550,2630,2710,2790,2870,2950,3012,3074,3136,3198,3260,540
catalogs_44f7a73d38fb7257c60a1eda71856ebf,5.5x8.5,4/4 (Full Color Both Sides),08pp = Inside 4 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,717.5,895,1072.5,1250,1348,1446,1544,1642,1740,1902,2064,2226,2388,2550,2630,2710,2790,2870,2950,3012,3074,3136,3198,3260,540
catalogs_5a0ed6851756febebd7c00d50ef03887,5.5x8.5,4/4 (Full Color Both Sides),08pp = Inside 4 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,880,1070,1260,1450,1588,1726,1864,2002,2140,2360,2580,2800,3020,3240,3390,3540,3690,3840,3990,4170,4350,4530,4710,4890,690
catalogs_b91cc1b2d67c4f9cd702d52d310282a9,5.5x8.5,4/4 (Full Color Both Sides),12pp = Inside 8 +Cover 4 ,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,880,1070,1260,1450,1588,1726,1864,2002,2140,2360,2580,2800,3020,3240,3390,3540,3690,3840,3990,4170,4350,4530,4710,4890,690
catalogs_8e9eb9a5049e689de5e9e771f93315ef,5.5x8.5,4/4 (Full Color Both Sides),12pp = Inside 8 +Cover 4 ,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,1120,1410,1700,1990,2160,2330,2500,2670,2840,3080,3320,3560,3800,4040,4250,4460,4670,4880,5090,5290,5490,5690,5890,6090,830
catalogs_6ec58dd570a9ce40f197be6bdffbd542,5.5x8.5,4/4 (Full Color Both Sides),16pp = Inside 12 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1120,1410,1700,1990,2160,2330,2500,2670,2840,3080,3320,3560,3800,4040,4250,4460,4670,4880,5090,5290,5490,5690,5890,6090,830
catalogs_f5275663c7bfff379b03326232ab5c3e,5.5x8.5,4/4 (Full Color Both Sides),16pp = Inside 12 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,1257.5,1535,1812.5,2090,2302,2514,2726,2938,3150,3408,3666,3924,4182,4440,4650,4860,5070,5280,5490,5730,5970,6210,6450,6690,980
catalogs_705beb39b1a0cf16843a582ddecee8a3,5.5x8.5,4/4 (Full Color Both Sides),20pp = Inside 16 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1257.5,1535,1812.5,2090,2302,2514,2726,2938,3150,3408,3666,3924,4182,4440,4650,4860,5070,5280,5490,5730,5970,6210,6450,6690,980
catalogs_0910af437d961f5258010598cc5156ed,5.5x8.5,4/4 (Full Color Both Sides),20pp = Inside 16 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,1607.5,1835,2062.5,2290,2562,2834,3106,3378,3650,3992,4334,4676,5018,5360,5644,5928,6212,6496,6780,7082,7384,7686,7988,8290,1380
catalogs_254662fc2e1d60b7fa56ea7cbd1986c9,5.5x8.5,4/4 (Full Color Both Sides),24pp = Inside 20 +Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1607.5,1835,2062.5,2290,2562,2834,3106,3378,3650,3992,4334,4676,5018,5360,5644,5928,6212,6496,6780,7082,7384,7686,7988,8290,1380
catalogs_963ce08c57b82142cdd06d099281705c,5.5x8.5,4/4 (Full Color Both Sides),24pp = Inside 20 +Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,1717.5,1995,2272.5,2550,2882,3214,3546,3878,4210,4518,4826,5134,5442,5750,6046,6342,6638,6934,7230,7494,7758,8022,8286,8550,1440
catalogs_f84e4ccaed07136e39e470ed4dde47d5,5.5x8.5,4/4 (Full Color Both Sides),28pp = Inside 24 + Cover ,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1717.5,1995,2272.5,2550,2882,3214,3546,3878,4210,4518,4826,5134,5442,5750,6046,6342,6638,6934,7230,7494,7758,8022,8286,8550,1440
catalogs_cd7238110cef8557b1415aa1bbcd040b,5.5x8.5,4/4 (Full Color Both Sides),28pp = Inside 24 + Cover ,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2022.5,2375,2727.5,3080,3362,3644,3926,4208,4490,4830,5170,5510,5850,6190,6456,6722,6988,7254,7520,7780,8040,8300,8560,8820,1670
catalogs_debfe0ae65b6f7b3361bba92fa62715f,5.5x8.5,4/4 (Full Color Both Sides),32pp = Inside 28 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2022.5,2375,2727.5,3080,3362,3644,3926,4208,4490,4830,5170,5510,5850,6190,6456,6722,6988,7254,7520,7780,8040,8300,8560,8820,1670
catalogs_45030adee200553e74198da6b34e0ef3,5.5x8.5,4/4 (Full Color Both Sides),32pp = Inside 28 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2102.5,2465,2827.5,3190,3482,3774,4066,4358,4650,4990,5330,5670,6010,6350,6618,6886,7154,7422,7690,7950,8210,8470,8730,8990,1740
catalogs_928ca036645eeeb80428bb33a8494a6a,5.5x8.5,4/4 (Full Color Both Sides),36pp = Inside 32 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2102.5,2465,2827.5,3190,3482,3774,4066,4358,4650,4990,5330,5670,6010,6350,6618,6886,7154,7422,7690,7950,8210,8470,8730,8990,1740
catalogs_f1141d4adf5b7a2bc0e059b0a6cc42da,5.5x8.5,4/4 (Full Color Both Sides),36pp = Inside 32 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2432.5,2875,3317.5,3760,4066,4372,4678,4984,5290,5630,5970,6310,6650,6990,7282,7574,7866,8158,8450,8738,9026,9314,9602,9890,1990
catalogs_8b3c617d109a9edf99712ee37dee01bd,5.5x8.5,4/4 (Full Color Both Sides),40pp = Inside 36 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2432.5,2875,3317.5,3760,4066,4372,4678,4984,5290,5630,5970,6310,6650,6990,7282,7574,7866,8158,8450,8738,9026,9314,9602,9890,1990
catalogs_26531800e4727a96002cef6c125e1151,5.5x8.5,4/4 (Full Color Both Sides),40pp = Inside 36 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2507.5,2965,3422.5,3880,4194,4508,4822,5136,5450,5812,6174,6536,6898,7260,7570,7880,8190,8500,8810,9124,9438,9752,10066,10380,2050
catalogs_1b55ebbd78496df2f15e2880910cf31d,5.5x8.5,4/4 (Full Color Both Sides),44pp = Inside 40 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2507.5,2965,3422.5,3880,4194,4508,4822,5136,5450,5812,6174,6536,6898,7260,7570,7880,8190,8500,8810,9124,9438,9752,10066,10380,2050
catalogs_136ebe3f2f6ca3783169ccdc57274f87,5.5x8.5,4/4 (Full Color Both Sides),44pp = Inside 40 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2687.5,3165,3642.5,4120,4404,4688,4972,5256,5540,5942,6344,6746,7148,7550,7874,8198,8522,8846,9170,9502,9834,10166,10498,10830,2210
catalogs_c930f9adb48cd5ad12a48ce37f500a5a,5.5x8.5,4/4 (Full Color Both Sides),48pp = Inside 44 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2687.5,3165,3642.5,4120,4404,4688,4972,5256,5540,5942,6344,6746,7148,7550,7874,8198,8522,8846,9170,9502,9834,10166,10498,10830,2210
catalogs_20bd0f9d5356295cbf50ae760bef7354,5.5x8.5,4/4 (Full Color Both Sides),48pp = Inside 44 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2780,3270,3760,4250,4538,4826,5114,5402,5690,6090,6490,6890,7290,7690,8022,8354,8686,9018,9350,9690,10030,10370,10710,11050,2290
catalogs_e67ee9cbfb40e5b5808c973bc325da86,5.5x8.5,4/4 (Full Color Both Sides),52pp = Inside 48 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2780,3270,3760,4250,4538,4826,5114,5402,5690,6090,6490,6890,7290,7690,8022,8354,8686,9018,9350,9690,10030,10370,10710,11050,2290
catalogs_fdef06fc23c0e34651edc18a31400540,5.5x8.5,4/4 (Full Color Both Sides),52pp = Inside 48 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3110,3660,4210,4760,5050,5340,5630,5920,6210,6622,7034,7446,7858,8270,8632,8994,9356,9718,10080,10446,10812,11178,11544,11910,2560
catalogs_fceabd65b73e9c816d777cb87ae2b885,5.5x8.5,4/4 (Full Color Both Sides),56pp = Inside 52 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3110,3660,4210,4760,5050,5340,5630,5920,6210,6622,7034,7446,7858,8270,8632,8994,9356,9718,10080,10446,10812,11178,11544,11910,2560
catalogs_3aff22ab514e7d39de69684a88f9ba09,5.5x8.5,4/4 (Full Color Both Sides),56pp = Inside 52 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3180,3750,4320,4890,5188,5486,5784,6082,6380,6818,7256,7694,8132,8570,8942,9314,9686,10058,10430,10808,11186,11564,11942,12320,2610
catalogs_4239e0ae589153900ea5395224aa29d2,5.5x8.5,4/4 (Full Color Both Sides),60pp = Inside 56 + Cover 4,null,100# Gloss Text w/ 100# Glossy Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3180,3750,4320,4890,5188,5486,5784,6082,6380,6818,7256,7694,8132,8570,8942,9314,9686,10058,10430,10808,11186,11564,11942,12320,2610
